,source_id,topic-0,topic-1,topic-2,topic-3,topic-4,topic-5,topic-6,topic-7,topic-8,topic-9,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29,topic-30,topic-31,topic-32,topic-33,topic-34,topic-35,topic-36,topic-37,topic-38,topic-39,topic-40,topic-41,topic-42,topic-43,topic-44,topic-45,topic-46,topic-47,topic-48,topic-49,topic-50,topic-51,topic-52,topic-53,topic-54,topic-55,topic-56,topic-57,topic-58,topic-59
36105213320000,36105213320000,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,0.163980171084404,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,0.09925200790166855,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,0.03111838921904564,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,0.6761834621429443,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,0.028959812596440315,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06,9.203018635162152e-06
36105213320018,36105213320018,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,0.06781549751758575,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,0.0041570053435862064,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,0.9272519946098328,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05,1.3605440472019836e-05
36105213320026,36105213320026,8.649022674944717e-06,0.7581745982170105,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,0.014439594000577927,8.649022674944717e-06,8.649022674944717e-06,0.04810953885316849,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,0.003595636459067464,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,0.005159154534339905,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,0.013042096979916096,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,0.010666263289749622,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,0.14636336266994476,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06,8.649022674944717e-06
36105213320034,36105213320034,0.08717697858810425,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,0.0030640005134046078,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,0.014555244706571102,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,0.011346018873155117,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,0.022513629868626595,0.03097321093082428,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,0.3064247667789459,2.3310021788347512e-05,2.3310021788347512e-05,2.3310021788347512e-05,0.005995148327201605,2.3310021788347512e-05,0.5167621970176697,2.3310021788347512e-05
36105213320042,36105213320042,3.373819708940573e-05,0.6093332171440125,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,0.0051220478489995,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,0.3836216628551483,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05,3.373819708940573e-05
36105213320059,36105213320059,0.009083475917577744,2.2583561076316983e-05,2.2583561076316983e-05,0.12027684599161148,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,0.7084306478500366,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,0.02525508403778076,2.2813735995441675e-05,2.2583561076316983e-05,0.13571161031723022,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05,2.2583561076316983e-05
36105213320067,36105213320067,0.6316010355949402,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,0.002155538182705641,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,0.03318182751536369,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,0.019585171714425087,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,0.13514965772628784,1.1930328582820948e-05,0.13467182219028473,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,0.011329781264066696,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,0.03170478716492653,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05,1.1930328582820948e-05
36105213320075,36105213320075,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,0.010752847418189049,1.0125556400453206e-05,1.0125556400453206e-05,0.05969813093543053,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,0.7040702700614929,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,0.2249116748571396,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05,1.0125556400453206e-05
36105213320083,36105213320083,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,0.0005361838266253471,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,0.01141570694744587,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,0.3075031042098999,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,0.41344544291496277,1.4355441635416355e-05,1.4355441635416355e-05,0.015135747380554676,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,0.19143304228782654,1.4355441635416355e-05,0.011027696542441845,0.04875660315155983,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05,1.4355441635416355e-05
36105213320091,36105213320091,0.0029290029779076576,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,0.995884895324707,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05,2.0449899238883518e-05
