,Druid,Purl,Title,Source Id,Catkey,source_id
0,bb018zb8894,https://purl.stanford.edu/bb018zb8894,George Stirling's heritage : a story of chequered love,sul:36105213325215,9370404,36105213325215
1,bb122wh8873,https://purl.stanford.edu/bb122wh8873,"The king and the cloister, or, Legends of the dissolution",sul:36105213325355,9371533,36105213325355
2,bb403jp9042,https://purl.stanford.edu/bb403jp9042,"On the way, or, Places passed by pilgrims",sul:36105213328276,9428576,36105213328276
3,bb456zt5479,https://purl.stanford.edu/bb456zt5479,"Edgar Nelthorpe, or, The fair maids of Taunton : a story of the Monmouth rebellion",sul:36105213325710,9374499,36105213325710
4,bb705cc9370,https://purl.stanford.edu/bb705cc9370,"Euthanasia, or, Turf, tent and tomb",sul:36105213330843,9522427,36105213330843
5,bb737zp0787,https://purl.stanford.edu/bb737zp0787,The curate of Cumberworth ; and The vicar of Roost : tales,sul:36105213335446,9616533,36105213335446
6,bb846gv7194,https://purl.stanford.edu/bb846gv7194,"Miss Kate, or, Confessions of a caretaker : a novel",sul:36105213336279,9626057,36105213336279
7,bb851sg5107,https://purl.stanford.edu/bb851sg5107,"De la More, or, Scenes in many lands!",sul:36105213321420,9276363,36105213321420
8,bc067cr7596,https://purl.stanford.edu/bc067cr7596,Mere stores,sul:36105213332054,9561939,36105213332054
9,bc647th4106,https://purl.stanford.edu/bc647th4106,Harry Fludyer at Cambridge : a series of family letters,sul:36105213330587,9519092,36105213330587
10,bd142cw6685,https://purl.stanford.edu/bd142cw6685,"The rose and the lotus, or, Home in England, and home in India",sul:36105213336618,9628707,36105213336618
11,bd431pt2666,https://purl.stanford.edu/bd431pt2666,Kintail Place : a tale of revolution,sul:36105213329183,9452151,36105213329183
12,bd537jh1546,https://purl.stanford.edu/bd537jh1546,Blizzard and another fantasy,sul:36105213325652,9373447,36105213325652
13,bd949rr1856,https://purl.stanford.edu/bd949rr1856,The Carding-Mill Valley : a romance of the Shropshire Highlands,sul:36105213327542,9411267,36105213327542
14,bf220qb2659,https://purl.stanford.edu/bf220qb2659,The czar : a tale of the time of the first Napoleon,sul:36105213323954,9344031,36105213323954
15,bf436jd9045,https://purl.stanford.edu/bf436jd9045,Bail up! : a romance of bushrangers and blacks,sul:36105213324960,9369517,36105213324960
16,bf498ms6568,https://purl.stanford.edu/bf498ms6568,A romance of Skye,sul:36105213324523,9349137,36105213324523
17,bf660xv8990,https://purl.stanford.edu/bf660xv8990,The money-spinner : and other character notes,sul:36105213322527,9330288,36105213322527
18,bf918yb9531,https://purl.stanford.edu/bf918yb9531,"Troublous times, or, Leaves from the note-book of the Rev. Mr. John Hicks, an ejected Nonconformist minister, 1670-71",sul:36105213329464,9454059,36105213329464
19,bg577xv8248,https://purl.stanford.edu/bg577xv8248,Herbert Manners : and other tales,sul:36105213320034,9262968,36105213320034
20,bg923xc0351,https://purl.stanford.edu/bg923xc0351,Cyril : a romantic novel,sul:36105213327211,9391064,36105213327211
21,bg943nv2866,https://purl.stanford.edu/bg943nv2866,"Judith, or, The Prophetess of Bethulia : a romance from the Apocrypha",sul:36105213323103,9335235,36105213323103
22,bh083sj1270,https://purl.stanford.edu/bh083sj1270,Within the walls : a tale of the siege of Haarlem,sul:36105213327062,9389134,36105213327062
23,bh371jc7491,https://purl.stanford.edu/bh371jc7491,"Clifford Mainwaring, student : a tale founded on fact : and, A mysterious affair, or, Keth Faulknar's wife : a domestic story",sul:36105213325108,9370033,36105213325108
24,bh774ph8521,https://purl.stanford.edu/bh774ph8521,The wheel of fate,sul:36105213333037,9585172,36105213333037
25,bh877kd3764,https://purl.stanford.edu/bh877kd3764,The stone dragon and other tragic romances,sul:36105213321891,9320576,36105213321891
26,bj703gh2616,https://purl.stanford.edu/bj703gh2616,"Clarence Leighton, or, The Outcast : a novel",sul:36105213332393,9564737,36105213332393
27,bk379vq6716,https://purl.stanford.edu/bk379vq6716,The web of the spider : a tale of adventure,sul:36105213328284,9436603,36105213328284
28,bk425ns8483,https://purl.stanford.edu/bk425ns8483,Dominic Penterne,sul:36105213322766,9331782,36105213322766
29,bk701yh0806,https://purl.stanford.edu/bk701yh0806,"The close of S. Andrew's, or, Cathedral lights and shadows : a tale of modern English life in a cathedral city",sul:36105213334027,9601244,36105213334027
30,bm146st2232,https://purl.stanford.edu/bm146st2232,"The fife and drum, or, Would be a soldier",sul:36105213325876,9375097,36105213325876
31,bm157zm4981,https://purl.stanford.edu/bm157zm4981,A week in a French country-house,sul:36105213332419,9564764,36105213332419
32,bm802vd7865,https://purl.stanford.edu/bm802vd7865,A case of blackmail,sul:36105213321495,9315095,36105213321495
33,bm959cz3533,https://purl.stanford.edu/bm959cz3533,"A week of passion, or, The dilemma of Mr George Barton the younger",sul:36105213334373,9605735,36105213334373
34,bn005sc8767,https://purl.stanford.edu/bn005sc8767,A vagabond heroine,sul:36105213327401,9408664,36105213327401
35,bn036my1936,https://purl.stanford.edu/bn036my1936,The chantry priest of Barnet : a tale of the two roses,sul:36105213331916,9561259,36105213331916
